"TSID","MSRP","Seating","Doors","Width","Height","Length","Wheelbase","Front_Head_Rm_in","Front_leg_room_IN","Front_shoulder_room_IN","Rear_head_room_IN","Rear leg room_IN","Rear shoulder room_IN","Fuel_Type","Engine_Type_Fuel","Fuel_Tank_Capacity_gal","Range_City_miles","Range_Hwy_miles","Mileage_City","Mileage_Hwy","Pass_Vol","Curb_weight","Cargo_Capacity_CUFT","Drive_Type","Transmission","Engine_Size","CAM_Type","Engine_Type","Cylinders","Engine_Valves","Engine_Torque_FTLBS","Engine_Torque_RPM","Horsepower","Horsepower (RPM)","Turning_circleFT","SmallOLFront","ModerateOLFront","Side","Roof","HeadRestraintsSeats","FrontCrashOPrev","Customer_Rating","Fuel","Insurance","Financing","State_Fees","Maintenance","Repairs","Depreciation"
7616,"37810","5","4",73.70,65.00,184.40,105.70,38.70,42.00,58.70,38.10,38.30,57.20,"Premium","Gas",16.00,304.00,448.00,19,28,129.60,3902,26.10,"AWD","6-speed automatic",3.50,"DOHC","V","6","24","252","4900","279","6200",38.90,"G","G","G","G","G","SUPERIOR",8.20,"9830.6","3402.9","2268.6","2268.6","1890.5","1512.4","16636.4"
7682,"56280","5","4",72.20,57.20,195.50,114.60,40.40,45.70,56.90,37.50,35.40,54.80,"Regular","Gas",19.00,361.00,532.00,19,28,110.70,3932,13.70,"AWD","8-speed automatic",3.60,"DOHC","V","6","24","285","5300","335","6800",39.00,"M","G","G","G","G","SUPERIOR",9.20,"14632.8","5065.2","3376.8","3376.8","2814","2251.2","24763.2"
7752,"40195","5","4",73.20,57.90,193.70,112.00,40.30,45.50,58.30,37.60,36.80,56.40,"Regular","Gas",18.50,351.50,518.00,19,28,123.30,3871,16.30,"FWD","6-speed automatic",3.30,"DOHC","V","6","24","255","5200","293","6400",36.50,"G","G","G","G","G","BASIC",9.10,"10450.7","3617.55","2411.7","2411.7","2009.75","1607.8","17685.8"
7755,"39095","5","4",73.20,57.90,193.70,112.00,40.30,45.50,58.30,37.60,36.80,56.40,"Regular","Gas",18.50,351.50,518.00,19,28,123.30,3871,16.30,"FWD","6-speed automatic",3.30,"DOHC","V","6","24","255","5200","293","6400",36.50,"G","G","G","G","G","BASIC",9.10,"10164.7","3518.55","2345.7","2345.7","1954.75","1563.8","17201.8"
7771,"39745","5","4",75.90,61.60,205.60,112.90,39.70,41.90,58.60,38.50,38.60,57.40,"Regular","Gas",19.00,361.00,532.00,19,28,123.00,4126,19.20,"FWD","6-speed automatic",3.70,"DOHC","V","6","24","280","4000","305","6500",39.40,"P","G","G","G","G","BASIC",8.90,"10333.7","3577.05","2384.7","2384.7","1987.25","1589.8","17487.8"
7788,"35725","5","4",72.80,58.10,195.70,112.00,40.00,45.50,58.30,37.80,36.80,56.50,"Regular","Gas",18.50,351.50,518.00,19,28,122.70,3670,15.90,"FWD","6-speed automatic",3.30,"DOHC","V","6","24","255","5200","293","6400",36.50,"G","G","G","G","G","NOT AVAILABLE",8.50,"9288.5","3215.25","2143.5","2143.5","1786.25","1429","15719"
7794,"41005","5","4",71.30,56.30,183.70,110.20,38.20,44.80,55.90,36.90,32.20,53.40,"Premium","Gas",17.40,330.60,487.20,19,28,104.00,3593,13.80,"RWD","8-speed automatic",3.50,"DOHC","V","6","24","277","4800","306","6400",34.20,"G","G","G","G","G","ADVANCED",8.80,"10661.3","3690.45","2460.3","2460.3","2050.25","1640.2","18042.2"
7804,"36815","5","4",72.20,58.50,191.60,110.40,38.30,42.40,56.90,37.80,39.10,57.00,"Premium","Gas",18.50,370.00,518.00,20,28,117.90,3481,15.90,"FWD","6-speed automatic",3.60,"DOHC","V","6","24","258","2500","280","6200",36.40,"A","G","G","G","G","NOT AVAILABLE",8.60,"9571.9","3313.35","2208.9","2208.9","1840.75","1472.6","16198.6"
7844,"37655","5","4",72.20,58.50,191.90,110.40,38.30,42.40,56.90,37.80,39.10,57.00,"Premium","Gas",18.50,370.00,518.00,20,28,117.90,3571,15.90,"FWD","6-speed automatic",3.60,"DOHC","V","6","24","258","2500","280","6200",36.40,"G","G","G","G","G","ADVANCED",8.60,"9790.3","3388.95","2259.3","2259.3","1882.75","1506.2","16568.2"
7942,"43705","7","4",77.20,67.60,193.60,111.00,38.10,41.40,61.10,38.30,36.60,59.10,"Premium","Gas",19.50,390.00,546.00,20,28,147.30,4025,14.80,"FWD","6-speed automatic",3.50,"SOHC","V","6","24","267","4500","290","6200",37.60,"G","G","G","G","G","ADVANCED",7.50,"11363.3","3933.45","2622.3","2622.3","2185.25","1748.2","19230.2"
8010,"35835","5","4",73.70,66.10,183.50,105.70,38.70,42.00,58.70,38.10,38.30,57.20,"Premium","Gas",16.00,320.00,448.00,20,28,103.50,3717,26.10,"FWD","6-speed automatic",3.50,"SOHC","V","6","24","273","6200","251","5000",38.90,"G","G","G","G","G","NOT AVAILABLE",8.20,"9317.1","3225.15","2150.1","2150.1","1791.75","1433.4","15767.4"
8189,"27090","5","4",70.70,58.10,180.90,104.30,39.80,43.30,55.60,37.10,35.40,54.20,"Premium","Gas",15.90,333.90,445.20,21,28,108.60,3267,12.00,"AWD","6-speed manual",2.00,"DOHC","Flat","4","16","258","2000","268","5600",35.40,"G","G","G","G","G","NOT AVAILABLE",9.20,"7043.4","2438.1","1625.4","1625.4","1354.5","1083.6","11919.6"
